sku,nombre,marca,variante,capacidad,envase,presentacion,unidadOPack,gtin,disponible,imageUrlActual,tipoActual,imageUrlPreparada,tipoPreparado,fuente,sourceType
speed-zero-473ml,Speed Zero,Speed,Sin azúcar,473 ml,lata,Unidad,UNIDAD,,true,assets/products/speed-zero-473ml-89bed41bf09b31b4-b30d764f0575c866.webp,REAL,assets/products/speed-zero-473ml-89bed41bf09b31b4-b30d764f0575c866.webp,REAL,https://distribuidoramif.com.ar/wp-content/uploads/2026/07/b63beccd-a0d4-4d8c-9a5c-de57c01c7697.jpeg,proveedor_aprobado
sprite-botella-pet-500-ml-pack-x12,Sprite,Sprite,Botella PET · 500 ml · Pack x12,500 ml,Botella PET,Pack x12,PACK,,true,assets/products/sprite-botella-pet-500-ml-pack-x12-07620ef3d3aa792c-09a508b8102bd8a5.webp,REAL,assets/products/sprite-botella-pet-500-ml-pack-x12-07620ef3d3aa792c-09a508b8102bd8a5.webp,REAL,https://andinacocacolaar.vteximg.com.br/arquivos/ids/155757/7790895000829.jpg?v=638748141213370000,fabricante
sprite-original-2250ml,Sprite,Sprite,Original,2250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/sprite-original-2250ml-99d83c94dac255ca-3898f9d83fdf293f.webp,REAL,assets/products/sprite-original-2250ml-99d83c94dac255ca-3898f9d83fdf293f.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/3/-/3-render_2.25l_sp.png,fabricante
sprite-original-lata-354ml,Sprite,Sprite,Original,354 ml,lata,Unidad,UNIDAD,,true,assets/products/sprite-original-lata-354ml-0060e518ebfab8e7-8832bfc71a16ffad.webp,REAL,assets/products/sprite-original-lata-354ml-0060e518ebfab8e7-8832bfc71a16ffad.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/s/p/spritelima-limo_n354ml_1.png,fabricante
sprite-original-pet-1500ml,Sprite,Sprite,Original,1500 ml,botella-pet,Unidad,UNIDAD,7790895000447,false,,FALLBACK,,FALLBACK,,
sprite-pet-500ml,Sprite,Sprite,500 ml,500 ml,Botella PET,Unidad,UNIDAD,7790895000829,false,,FALLBACK,,FALLBACK,,
sprite-zero-2250ml,Sprite Zero,Sprite,Sin azúcar,2250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/sprite-zero-2250ml-c43f15fd8eedc2e4-96e92127e95886ab.webp,REAL,assets/products/sprite-zero-2250ml-c43f15fd8eedc2e4-96e92127e95886ab.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/4/-/4-render_2.25l_spz.png,fabricante
sprite-zero-pet-1500ml,Sprite Zero,Sprite,Sin azúcar,1500 ml,botella-pet,Unidad,UNIDAD,7790895064173,false,,FALLBACK,,FALLBACK,,
stella-artois-lata-473ml,Stella Artois,Stella Artois,Lager,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,assets/products/stella-artois-lata-473ml-9178af863653c84c-f104133a2207c430.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890507/Cerveza-Stella-Artois-Rubia-473-Ml-1-38031.jpg?v=638987206078500000,proveedor_aprobado
stella-artois-lata-473ml-pack-6,Stella Artois,Stella Artois,Lager,473 ml,lata,Pack x6,PACK,7792798010592,false,,FALLBACK,assets/products/stella-artois-lata-473ml-pack-6-fa4bfc744feba77f-e74088b74eb2a498.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890519/Cerveza-Rubia-X-6-Un-Stella-Artois-1-305956.jpg?v=638987206120670000,proveedor_aprobado
toro-tinto-1000ml,Toro,Toro,Tinto,1000 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
toro-viejo-clasico-tinto-750ml,Toro Viejo Clásico,Toro Viejo,Tinto,750 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
trapiche-origen-malbec-750ml,Trapiche Origen Malbec,Trapiche,Malbec,750 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
villa-del-sur-sin-gas-600ml,Villa del Sur,Villa del Sur,Sin gas,600 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/villa-del-sur-sin-gas-600ml-81e9d897ac5c7200-d5bf4cdecf9d2d26.webp,REAL,assets/products/villa-del-sur-sin-gas-600ml-81e9d897ac5c7200-d5bf4cdecf9d2d26.webp,REAL,https://cdn1.kilbelonline.com/webapp/images/productos/b/0000028000/28237.jpg,proveedor_aprobado
villa-del-sur-sin-gas-pet-2250ml,Villa del Sur,Villa del Sur,Sin gas,2250 ml,botella-pet,Unidad,UNIDAD,7798062547559,false,,FALLBACK,,FALLBACK,,
villavicencio-con-gas-500ml,Villavicencio,Villavicencio,Con gas,500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/villavicencio-con-gas-500ml-aa4659b148790b42-016bbed61ae8c026.webp,REAL,assets/products/villavicencio-con-gas-500ml-aa4659b148790b42-016bbed61ae8c026.webp,REAL,https://arjosimarprod.vtexassets.com/arquivos/ids/170249/Agua-Gasificada-Villavicencio-500-cc-1-8950.jpg?v=638567625653030000,proveedor_aprobado
villavicencio-con-gas-pet-1500ml,Villavicencio,Villavicencio,Con gas,1500 ml,botella-pet,Unidad,UNIDAD,7799155000210,false,,FALLBACK,,FALLBACK,,
villavicencio-sin-gas-1500ml,Villavicencio,Villavicencio,Sin gas,1500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/villavicencio-sin-gas-1500ml-2fb407c8fa1c2b59-b28075add15596af.webp,REAL,assets/products/villavicencio-sin-gas-1500ml-2fb407c8fa1c2b59-b28075add15596af.webp,REAL,https://ardiaprod.vteximg.com.br/arquivos/ids/377160/Agua-Pet-Sin-Gas-Villavicencio-15-Lt-_1.jpg?v=639228155475400000,proveedor_aprobado
vodka-skyy-700ml,Skyy Vodka,Skyy,Original,700 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
